6_investors,"Deals Information, Level of Completeness",Disclosed ,Founded,Total  Disclosed Funding,DA Classification_African Company (Yes = 0; No = 1),Year,Month,Quarter,Half,Number of Investors,main_sector_encoded,funding_round_encoded,cat_Country
Undisclosed,0.9,1.0,2013.0,169000.0,0.0,2013.0,12.0,4.0,2.0,1.0,8,1,1
"Tiger Global Management, Kinnevik AB, Rise Capital",0.9,1.0,2010.0,30000000.0,0.0,2013.0,12.0,4.0,2.0,3.0,4,7,19
"Naspers Ventures, Kinnevik AB",0.9,1.0,2012.0,79500000.0,0.0,2014.0,1.0,1.0,1.0,2.0,5,6,19
Undisclosed,0.9,1.0,2013.0,3315000.0,0.0,2014.0,1.0,1.0,1.0,1.0,10,1,19
Anthemis Group,0.9,0.0,2014.0,91700000.0,0.0,2014.0,1.0,1.0,1.0,1.0,1,3,23
"Startupbootcamp Smart Transportation & Energy Berlin, Startupbootcamp",0.9,1.0,2014.0,905400.0,0.0,2014.0,2.0,1.0,1.0,2.0,11,1,20
Velocity Capital Private Equity,0.9,1.0,2004.0,54500000.0,0.0,2014.0,2.0,1.0,1.0,1.0,1,6,10
Undisclosed,0.9,1.0,2012.0,15800000.0,0.0,2014.0,3.0,1.0,1.0,1.0,1,1,19
Undisclosed,0.9,1.0,2014.0,2150000.0,0.0,2014.0,4.0,2.0,1.0,1.0,12,1,5
XSeed Capital,0.9,1.0,2014.0,17138000.0,0.0,2014.0,4.0,2.0,1.0,1.0,1,1,19
Accion Venture Lab,0.9,0.0,2012.0,0.0,0.0,2014.0,5.0,2.0,1.0,1.0,1,1,10
Tiger Global Management,0.9,1.0,2011.0,169000000.0,0.0,2014.0,5.0,2.0,1.0,1.0,5,8,23
"Future Perfect Ventures, Firestartr, Digital Currency Group",0.9,1.0,2013.0,14970000.0,0.0,2014.0,5.0,2.0,1.0,3.0,1,1,10
Undisclosed,0.9,1.0,2013.0,555000.0,0.0,2014.0,6.0,2.0,1.0,1.0,4,1,4
CRE Venture Capital,0.9,1.0,2013.0,20100000.0,0.0,2014.0,7.0,3.0,2.0,1.0,1,1,23
"Urban Us, Synergy Growth, Omvestments, Invested Development, Gary Scheft, Cheryl Heller",0.9,1.0,2013.0,4200000.0,0.0,2014.0,7.0,3.0,2.0,6.0,8,1,10
Industrial Development Corporation,0.9,1.0,2011.0,5050000.0,0.0,2014.0,8.0,3.0,2.0,1.0,1,6,23
Silicon Badia,0.8,1.0,2012.0,23500000.0,0.0,2014.0,10.0,4.0,2.0,1.0,12,3,5
Undisclosed,0.9,1.0,2014.0,2750000.0,0.0,2014.0,11.0,4.0,2.0,1.0,5,4,5
500 Startups,0.9,1.0,2011.0,105000.0,0.0,2014.0,11.0,4.0,2.0,1.0,1,1,10
500 Startups,0.9,1.0,2013.0,100000.0,0.0,2014.0,11.0,4.0,2.0,1.0,4,1,5
"Summit Partners, Rocket Internet, Orange, Millicom Systems, MTN Group, Goldman Sachs, CDC Group, AXA Group",0.9,1.0,2012.0,885400000.0,0.0,2014.0,11.0,4.0,2.0,8.0,5,6,19
Cairo Angels,0.9,0.0,2012.0,510000.0,0.0,2015.0,1.0,1.0,1.0,1.0,5,1,5
DOB Equity,0.9,1.0,2012.0,22000000.0,0.0,2015.0,1.0,1.0,1.0,1.0,5,1,10
Daud Nur,0.9,1.0,2015.0,700000.0,0.0,2015.0,1.0,1.0,1.0,1.0,10,1,23
KFW,0.9,1.0,1982.0,50000000.0,0.0,2015.0,1.0,1.0,1.0,1.0,1,5,10
"SOSV, Carma Axlr8r",0.9,0.0,2015.0,131000.0,0.0,2015.0,1.0,1.0,1.0,2.0,10,1,20
Undisclosed ,0.9,1.0,2012.0,8100000.0,0.0,2015.0,1.0,1.0,1.0,1.0,13,3,20
Undisclosed,0.9,1.0,2012.0,11080000.0,0.0,2015.0,1.0,1.0,1.0,1.0,1,1,26
"Stephens Investment Management, Pantera Capital, Future Perfect Ventures, Digital Currency Group, Colle Capital Partners, Blockchain Capital",0.9,1.0,2013.0,14970000.0,0.0,2015.0,2.0,1.0,1.0,6.0,1,1,10
"Savannah Fund, Interswitch, CRE Venture Capital",0.9,1.0,2013.0,3315000.0,0.0,2015.0,2.0,1.0,1.0,3.0,10,1,19
"Rocket Internet, Kinnevik AB",0.9,1.0,2011.0,5000000.0,0.0,2015.0,2.0,1.0,1.0,2.0,5,6,19
"Tencent Holdings, Naspers",0.9,0.0,2014.0,0.0,0.0,2015.0,2.0,1.0,1.0,2.0,6,9,23
Lateral Capital,0.9,0.0,2014.0,8000000.0,0.0,2015.0,3.0,1.0,1.0,1.0,4,1,19
Naspers Ventures,0.9,1.0,2012.0,79500000.0,0.0,2015.0,4.0,2.0,1.0,1.0,5,8,19
Seek,0.9,1.0,2012.0,30000000.0,0.0,2015.0,4.0,2.0,1.0,1.0,5,10,23
Co-Creation Hub Nigeria,0.9,1.0,2015.0,175000.0,0.0,2015.0,5.0,2.0,1.0,1.0,10,1,19
"Vinny Lingham, Newtown Partners, Africa Angels Network (AAN), Identity Development Fund (IDF)",0.9,0.0,2014.0,2700000.0,0.0,2015.0,5.0,2.0,1.0,4.0,8,1,23
Undisclosed,0.9,1.0,2013.0,555000.0,0.0,2015.0,5.0,2.0,1.0,1.0,4,1,4
"GreenHouse Capital, CRE Venture Capital",0.9,1.0,2014.0,425000.0,0.0,2015.0,5.0,2.0,1.0,2.0,5,1,19
Undisclosed,0.9,1.0,2014.0,2750000.0,0.0,2015.0,6.0,2.0,1.0,1.0,5,1,5
Yago Arbeloa,0.9,1.0,2014.0,10500000.0,0.0,2015.0,6.0,2.0,1.0,1.0,10,11,10
Net1 UEPS Technologies,0.9,1.0,2012.0,15800000.0,0.0,2015.0,6.0,2.0,1.0,1.0,1,5,19
"Daniel van Tonder, Willem van Zyl",0.9,1.0,2015.0,6397000.0,0.0,2015.0,8.0,3.0,2.0,2.0,1,12,23
Y Combinator,0.9,1.0,2014.0,120000.0,1.0,2015.0,8.0,3.0,2.0,1.0,4,1,7
"Vostok New Ventures, Piton Capital, Endure Capital, 500 Startups",0.9,1.0,2009.0,7850000.0,0.0,2015.0,8.0,3.0,2.0,4.0,2,3,5
"Techstars New York City Accelerator, Techstars",0.9,0.0,2015.0,8100000.0,0.0,2015.0,9.0,3.0,2.0,2.0,10,1,19
Infotech Ventures,0.9,1.0,2015.0,5770000.0,0.0,2015.0,9.0,3.0,2.0,1.0,10,1,23
Venture Garden Group,0.9,1.0,2016.0,330000.0,0.0,2015.0,9.0,3.0,2.0,1.0,2,1,19
Cross Culture Ventures,0.9,0.0,2012.0,3500000.0,0.0,2015.0,9.0,3.0,2.0,1.0,6,1,10
"Right Side Capital Management, Amadeo Brenninkmeijer",0.9,1.0,2015.0,8100000.0,0.0,2015.0,9.0,3.0,2.0,2.0,10,12,19
"Omidyar Network, Goodwell Investments, Capricorn Investment Group, Adlevo Capital",0.9,1.0,2009.0,32700000.0,0.0,2015.0,10.0,4.0,2.0,4.0,1,6,19
"ACE & Company, The Family, Cross Culture Ventures, Orange Digital Ventures",0.9,0.0,2014.0,120000.0,1.0,2015.0,10.0,4.0,2.0,4.0,4,13,7
"Accion Venture Lab, Bamboo Finance, Javelin Venture Partners",0.9,1.0,2011.0,6504900.0,0.0,2015.0,10.0,4.0,2.0,3.0,1,6,10
Undisclosed,0.9,0.0,2011.0,5050000.0,0.0,2015.0,10.0,4.0,2.0,1.0,1,8,23
"Blue Haven Initiative, Lundin Foundation",0.9,0.0,2012.0,0.0,0.0,2015.0,10.0,4.0,2.0,2.0,1,3,10
Pfizer Foundation,0.9,1.0,2016.0,2975000.0,0.0,2015.0,11.0,4.0,2.0,1.0,1,2,10
Savannah Fund,0.9,1.0,2014.0,10500000.0,0.0,2015.0,11.0,4.0,2.0,1.0,10,1,10
"North Base Media, Lateral Capital, J.E. Berman Associates, CRE Venture Capital",0.9,1.0,2014.0,8000000.0,0.0,2015.0,11.0,4.0,2.0,4.0,4,1,19
Undisclosed,0.9,1.0,2014.0,2000000.0,0.0,2015.0,11.0,4.0,2.0,1.0,5,1,19
Q4 Investments (Pty) Ltd,0.9,1.0,2015.0,6397000.0,0.0,2015.0,11.0,4.0,2.0,1.0,1,1,23
Pitch@Palace,0.9,0.0,2012.0,742000.0,0.0,2015.0,12.0,4.0,2.0,1.0,14,2,8
Undisclosed,0.9,1.0,2015.0,400000.0,0.0,2015.0,12.0,4.0,2.0,1.0,5,1,23
"Garage Technology Ventures, Patrick Pichette, Garage Capital",0.9,1.0,2014.0,1080000.0,0.0,2015.0,12.0,4.0,2.0,3.0,10,1,10
"Omar Salah, Nader El-Batrawi",0.9,1.0,2016.0,1550000.0,0.0,2016.0,1.0,1.0,1.0,2.0,10,1,5
"Yakout Sallam, Mahmoud Barakat",0.9,1.0,2017.0,103900.0,0.0,2016.0,1.0,1.0,1.0,2.0,5,1,5
"Jean and Steve Case, Jim Sorenson, TED, MKS Alternative Investments, Synergy Energy ",0.9,1.0,2013.0,4200000.0,0.0,2016.0,1.0,1.0,1.0,5.0,8,13,10
"XSeed Capital, Nyca Partners, GreenHouse Capital, First Ally Capital, FinTech Collective",0.9,1.0,2014.0,17138000.0,0.0,2016.0,1.0,1.0,1.0,5.0,1,1,19
Y Combinator,0.9,0.0,2016.0,1220000.0,0.0,2016.0,1.0,1.0,1.0,1.0,4,1,8
"Vumela Fund,  Vinny Lingham, Llew Claasen’s Newtown Partners",0.9,1.0,2014.0,2700000.0,0.0,2016.0,1.0,1.0,1.0,3.0,8,1,23
"Kinnevik AB, Canal+",0.9,1.0,2010.0,30000000.0,0.0,2016.0,1.0,1.0,1.0,2.0,4,14,19
"Golden Palm Investments Holding Co., Olive Tree Ventures, Social Capital ",0.9,1.0,2014.0,25100000.0,0.0,2016.0,1.0,1.0,1.0,3.0,12,1,8
"Amadeus Capital Partners, MTN Group",0.9,1.0,1999.0,40000000.0,0.0,2016.0,2.0,1.0,1.0,2.0,15,3,23
Amadeus Capital Partners,0.9,1.0,2013.0,2000000.0,0.0,2016.0,2.0,1.0,1.0,1.0,1,1,23
1776 Ventures,0.9,1.0,2013.0,40350000.0,0.0,2016.0,2.0,1.0,1.0,1.0,5,11,10
BitFury Capital,0.9,1.0,2013.0,14970000.0,0.0,2016.0,2.0,1.0,1.0,1.0,1,13,10
"Middle East venture Partners, vodafone Ventures, Raed VC",0.9,1.0,2012.0,2625000.0,0.0,2016.0,3.0,1.0,1.0,3.0,8,1,5
"Rocket Internet, MTN Group, Orange, Goldman Sachs, CDC Group, AXA Group",0.9,1.0,2012.0,885400000.0,0.0,2016.0,3.0,1.0,1.0,6.0,5,8,19
Seedstars,0.9,1.0,2015.0,500000.0,0.0,2016.0,3.0,1.0,1.0,1.0,2,1,23
EchoVC Partners,0.9,1.0,2012.0,25000.0,0.0,2016.0,3.0,1.0,1.0,1.0,16,1,10
EchoVC Partners,0.9,1.0,2015.0,1000000.0,0.0,2016.0,3.0,1.0,1.0,1.0,4,1,19
Undisclosed,0.9,1.0,2015.0,57000.0,0.0,2016.0,3.0,1.0,1.0,1.0,4,4,13
Y Combinator,0.9,1.0,2013.0,2120000.0,0.0,2016.0,3.0,1.0,1.0,1.0,9,1,5
Undisclosed,0.9,1.0,2015.0,8100000.0,0.0,2016.0,3.0,1.0,1.0,1.0,10,1,19
Global Inovation Fund (GIF),0.9,1.0,2015.0,1327000.0,0.0,2016.0,4.0,2.0,1.0,1.0,10,11,26
Digital Currency Group,0.9,1.0,2014.0,685000.0,0.0,2016.0,4.0,2.0,1.0,1.0,17,13,23
Undisclosed,0.9,1.0,2015.0,700000.0,0.0,2016.0,4.0,2.0,1.0,1.0,10,1,23
Undisclosed,0.9,1.0,2008.0,55800000.0,0.0,2016.0,4.0,2.0,1.0,1.0,3,3,23
Y Combinator,0.9,1.0,2016.0,1220000.0,0.0,2016.0,4.0,2.0,1.0,1.0,4,1,8
LeapFrog Investments,0.9,0.0,2014.0,91700000.0,0.0,2016.0,5.0,2.0,1.0,1.0,1,9,23
Undisclosed,0.9,1.0,2014.0,2500000.0,0.0,2016.0,5.0,2.0,1.0,1.0,6,13,23
Kevin Gaskell,0.9,1.0,2016.0,584000.0,0.0,2016.0,5.0,2.0,1.0,1.0,4,1,23
Undisclosed,0.9,0.0,2014.0,4500000.0,0.0,2016.0,5.0,2.0,1.0,1.0,1,1,25
Undisclosed,0.9,1.0,2014.0,905400.0,0.0,2016.0,5.0,2.0,1.0,1.0,11,12,20
Convergence Partners,0.9,1.0,2012.0,4000000.0,0.0,2016.0,6.0,2.0,1.0,1.0,6,1,23
Faden Media,0.9,1.0,2014.0,2750000.0,0.0,2016.0,6.0,2.0,1.0,1.0,5,1,5
Factor E Ventures,0.9,1.0,2014.0,905400.0,0.0,2016.0,6.0,2.0,1.0,1.0,11,12,20
"Accel, Amr Awadallah, Jim Payne, Sharif El-Badawi",0.9,1.0,2013.0,2120000.0,0.0,2016.0,6.0,2.0,1.0,4.0,9,1,5
SpeedUPAfrica,0.9,0.0,2015.0,4500000.0,0.0,2016.0,6.0,2.0,1.0,1.0,10,2,10
SpeedUp Africa,0.9,0.0,2015.0,464000.0,0.0,2016.0,6.0,2.0,1.0,1.0,3,2,8
Undisclosed,0.9,1.0,2014.0,1200000.0,0.0,2016.0,6.0,2.0,1.0,1.0,1,1,19
SpeedUPAfrica,0.9,0.0,2015.0,131000.0,0.0,2016.0,6.0,2.0,1.0,1.0,10,2,20
"Endure Capital, A15",0.9,1.0,2015.0,950000.0,0.0,2016.0,7.0,3.0,2.0,2.0,12,1,5
HAVAIC,0.9,0.0,2007.0,0.0,0.0,2016.0,7.0,3.0,2.0,1.0,6,1,23
StartupBootcamp,0.9,1.0,2014.0,170000.0,0.0,2016.0,7.0,3.0,2.0,1.0,1,1,23
Kamelizer,0.9,0.0,2014.0,500000.0,0.0,2016.0,7.0,3.0,2.0,1.0,3,4,5
Undisclosed,0.9,1.0,2015.0,1724700.0,0.0,2016.0,8.0,3.0,2.0,1.0,5,11,10
A15,0.9,1.0,2015.0,450000.0,0.0,2016.0,8.0,3.0,2.0,1.0,5,1,5
Undisclosed,0.9,1.0,2016.0,177000.0,0.0,2016.0,8.0,3.0,2.0,1.0,10,1,23
Safaricom,0.9,0.0,2011.0,0.0,0.0,2016.0,8.0,3.0,2.0,1.0,3,9,10
"International Finance Corporation (IFC), 4Di, Omidyar Network, Quona Capital,  Patrick Pichette",0.9,1.0,2009.0,19500000.0,0.0,2016.0,8.0,3.0,2.0,5.0,1,6,29
"Spark, Hotels.ng",0.9,1.0,2015.0,45000.0,0.0,2016.0,8.0,3.0,2.0,2.0,8,1,19
"Zillionize Angel, Y Combinator",0.9,0.0,2016.0,1220000.0,0.0,2016.0,8.0,3.0,2.0,2.0,4,1,8
"Susan Kimberlin, Steven Tamm, Safaricom, Cross Culture Ventures, Alpha Angels",0.9,0.0,2012.0,3500000.0,0.0,2016.0,8.0,3.0,2.0,5.0,6,1,10
TIA,0.9,1.0,2014.0,685000.0,0.0,2016.0,8.0,3.0,2.0,1.0,17,1,23
DOB Equity,0.9,0.0,2013.0,40350000.0,0.0,2016.0,8.0,3.0,2.0,1.0,5,9,10
Undisclosed,0.9,1.0,2016.0,1550000.0,0.0,2016.0,8.0,3.0,2.0,1.0,10,4,5
"Goodwell Investments,  Omidyar Network, Horizen Ventures, Marcos Vercelli-Forster",0.9,1.0,2015.0,5770000.0,0.0,2016.0,8.0,3.0,2.0,4.0,10,1,23
500 Startups,0.9,1.0,2014.0,425000.0,0.0,2016.0,9.0,3.0,2.0,1.0,5,1,19
Undisclosed,0.9,1.0,2016.0,150000.0,0.0,2016.0,9.0,3.0,2.0,1.0,12,1,10
Undisclosed,0.9,1.0,2016.0,415000.0,0.0,2016.0,9.0,3.0,2.0,1.0,1,1,5
Frontier Digital Ventures,0.9,1.0,2013.0,1440000.0,0.0,2016.0,9.0,3.0,2.0,1.0,7,3,19
 BoostVC,0.9,1.0,2015.0,3920000.0,0.0,2016.0,9.0,3.0,2.0,1.0,1,12,23
"OEL Venture Investments, Factor E Ventures, Accion Venture Lab",0.9,0.0,2015.0,1600000.0,0.0,2016.0,9.0,3.0,2.0,3.0,14,1,10
The Overseas Private Investment Corporation (OPIC),0.9,1.0,2013.0,4100000.0,0.0,2016.0,9.0,3.0,2.0,1.0,6,5,10
"Seedstars, Techstars, Zahra Nasser, George G, The Bill & Melinda Gates Foundation, Financial Sector Deepening Trust",0.9,1.0,2016.0,1250000.0,0.0,2016.0,9.0,3.0,2.0,6.0,1,1,24
"KOSMOS Energy, MEST Africa",0.9,1.0,2016.0,50000.0,0.0,2016.0,10.0,4.0,2.0,2.0,14,1,8
"Newid capital, Accion Venture Lab, HALLMANN HOLDING International Investment GmbH",0.9,0.0,2014.0,6500000.0,0.0,2016.0,10.0,4.0,2.0,3.0,1,1,23
Undisclosed,0.9,1.0,2015.0,131000.0,0.0,2016.0,10.0,4.0,2.0,1.0,10,1,20
"Bill Paladino, Jacques Ludik, Maude Gliwa",0.9,1.0,2015.0,300000.0,0.0,2016.0,10.0,4.0,2.0,3.0,3,4,23
Undisclosed,0.9,1.0,2015.0,70000.0,0.0,2016.0,11.0,4.0,2.0,1.0,1,15,10
Undisclosed,0.9,1.0,2015.0,100000.0,0.0,2016.0,11.0,4.0,2.0,1.0,6,16,6
"Wayra, LocalGlobe, ADV ",0.9,1.0,2015.0,6600000.0,0.0,2016.0,11.0,4.0,2.0,3.0,14,1,10
Clifftop Colony Capital Partners,0.9,1.0,2008.0,454600.0,0.0,2016.0,11.0,4.0,2.0,1.0,4,1,23
500 Startups,0.9,1.0,2016.0,330000.0,0.0,2016.0,11.0,4.0,2.0,1.0,2,1,19
500 Startups,0.9,1.0,2015.0,270000.0,0.0,2016.0,11.0,4.0,2.0,1.0,1,1,19
Kevin Gaskell,0.9,1.0,2016.0,584000.0,0.0,2016.0,11.0,4.0,2.0,1.0,4,13,23
Darshan Chandaria,0.9,1.0,2012.0,250000.0,0.0,2016.0,11.0,4.0,2.0,1.0,1,1,10
Undisclosed,0.9,1.0,2015.0,6397000.0,0.0,2016.0,12.0,4.0,2.0,1.0,1,3,23
Futuregrowth Asset Management,0.9,1.0,2008.0,21500000.0,0.0,2016.0,12.0,4.0,2.0,1.0,15,9,23
AUC Venture Lab,0.9,0.0,2015.0,1000000.0,0.0,2016.0,12.0,4.0,2.0,1.0,5,2,5
Undisclosed,0.9,1.0,2017.0,3500.0,0.0,2016.0,12.0,4.0,2.0,1.0,1,1,4
"BECO Capital, Silicon Badia, TDF Capital, Vostok New Ventures",0.9,1.0,2012.0,23500000.0,0.0,2016.0,12.0,4.0,2.0,4.0,12,6,5
Engineers Without Borders Canada,0.9,0.0,2014.0,1000000.0,0.0,2017.0,1.0,1.0,1.0,1.0,14,1,6
Amazon Web Services,0.9,1.0,2017.0,103900.0,0.0,2017.0,1.0,1.0,1.0,1.0,5,2,5
Sunray Ventures,0.9,0.0,2017.0,26560000.0,0.0,2017.0,2.0,1.0,1.0,1.0,18,1,15
Undisclosed,0.9,1.0,2015.0,520000.0,0.0,2017.0,2.0,1.0,1.0,1.0,5,1,1
"500 Startups, ACE & Company",0.9,1.0,2010.0,1000000.0,0.0,2017.0,2.0,1.0,1.0,2.0,5,6,5
500 Startups,0.9,1.0,2013.0,162000.0,0.0,2017.0,2.0,1.0,1.0,1.0,4,1,19
Id4 ventures,0.9,1.0,2012.0,1069000.0,0.0,2017.0,2.0,1.0,1.0,1.0,5,4,9
Numu Capital,0.9,0.0,2016.0,300000.0,0.0,2017.0,3.0,1.0,1.0,1.0,10,1,5
"Mbuyu Capital Partners, Maris Capital, International Finance Corporation (IFC), CDC Group",0.9,1.0,2015.0,52000000.0,0.0,2017.0,3.0,1.0,1.0,4.0,7,9,10
Y Combinator,0.9,1.0,2014.0,3120000.0,0.0,2017.0,3.0,1.0,1.0,1.0,5,1,16
Y Combinator,0.9,1.0,2015.0,270000.0,0.0,2017.0,3.0,1.0,1.0,1.0,1,1,19
Y Combinator,0.9,1.0,2016.0,5120000.0,0.0,2017.0,3.0,1.0,1.0,1.0,1,1,19
Ion Equity,0.9,1.0,2015.0,8000000.0,0.0,2017.0,3.0,1.0,1.0,1.0,12,9,10
Savannah Fund,0.9,1.0,2016.0,8186000.0,0.0,2017.0,3.0,1.0,1.0,1.0,1,1,19
Western Technology Investment,0.9,1.0,2014.0,17138000.0,0.0,2017.0,4.0,2.0,1.0,1.0,1,5,19
CreditInfo,0.9,1.0,2016.0,1100000.0,0.0,2017.0,4.0,2.0,1.0,1.0,1,1,10
Undisclosed,0.9,1.0,2016.0,191500.0,0.0,2017.0,4.0,2.0,1.0,1.0,3,2,19
Algebra Ventures,0.9,1.0,2011.0,1500000.0,0.0,2017.0,4.0,2.0,1.0,1.0,5,3,5
Naspers,0.9,1.0,2011.0,169000000.0,0.0,2017.0,4.0,2.0,1.0,1.0,5,17,23
Discover PreAccelerator,0.9,0.0,2017.0,0.0,0.0,2017.0,4.0,2.0,1.0,1.0,6,2,29
"Startupbootcamp, Startupbootcamp InsurTech London
",0.9,1.0,2014.0,4667000.0,0.0,2017.0,4.0,2.0,1.0,2.0,19,1,23
GSMA Ecosystem Accelerator,0.9,0.0,2015.0,131000.0,0.0,2017.0,4.0,2.0,1.0,1.0,10,2,20
GSMA Ecosystem Accelerator,0.9,0.0,2013.0,40350000.0,0.0,2017.0,4.0,2.0,1.0,1.0,5,2,10
Cairo Angels,0.9,0.0,2014.0,500000.0,0.0,2017.0,5.0,2.0,1.0,1.0,3,12,5
"New Enterprise Associates, Balderton Capital Balderton Capital, TPG Growth, EchoVC Partners, Frontier Car Group",0.9,1.0,2016.0,5000000.0,0.0,2017.0,5.0,2.0,1.0,5.0,5,3,19
Algebra Ventures,0.9,1.0,2013.0,750000.0,0.0,2017.0,5.0,2.0,1.0,1.0,5,3,5
LoftyInc Capital Management,0.9,1.0,2013.0,162000.0,0.0,2017.0,5.0,2.0,1.0,1.0,4,1,19
Ventures Platform,0.9,1.0,2016.0,620000.0,0.0,2017.0,5.0,2.0,1.0,1.0,14,1,19
"Endeavor, Silicon Badia, Vostok New Ventures, Vulkan Equity",0.9,1.0,2012.0,23500000.0,0.0,2017.0,5.0,2.0,1.0,4.0,12,6,5
"Zeno Ventures, Y Combinator, Western Technology Investment, Vy Capital, Social Capital, Picus Capital, Michael Seibel, Lynett Capital, Golden Palm Investments, Gabriel Hammond, Friále, ACE & Company",0.9,1.0,2014.0,5100000.0,0.0,2017.0,5.0,2.0,1.0,12.0,6,1,19
Google Launchpad Accelerator,0.9,1.0,2014.0,91700000.0,0.0,2017.0,5.0,2.0,1.0,1.0,1,2,23
Google Launchpad Accelerator,0.9,1.0,2013.0,40350000.0,0.0,2017.0,5.0,2.0,1.0,1.0,5,2,10
Undisclosed,0.9,1.0,2016.0,255000.0,0.0,2017.0,6.0,2.0,1.0,1.0,15,12,5
Innoventures,0.9,1.0,2016.0,7200.0,0.0,2017.0,6.0,2.0,1.0,1.0,4,1,5
